k,|E0|/max|E_eml|,|1+rA|,|1+rB|
3.000000000000000000e+01,5.534049966041063723e-02,1.981487976379805005e+00,1.946877604276096685e+00
5.000000000000000000e+01,3.327226109959868089e-02,1.986257694345368696e+00,1.946877604276096685e+00
8.000000000000000000e+01,2.081610937162366518e-02,1.988605108147417422e+00,1.946877604276096685e+00
1.200000000000000000e+02,1.388454655908633040e-02,1.989803613502562740e+00,1.946877604276096685e+00
2.000000000000000000e+02,8.333963589606314948e-03,1.990707762742145892e+00,1.946877604276096685e+00
3.000000000000000000e+02,5.557011549525632185e-03,1.991141554333443642e+00,1.946877604276096685e+00
5.000000000000000000e+02,3.334691788256772225e-03,1.991479791252097842e+00,1.946877604276096685e+00
8.000000000000000000e+02,2.084349816812319268e-03,1.991666608850495068e+00,1.946877604276096685e+00
1.200000000000000000e+03,1.389627932938428167e-03,1.991769325040795291e+00,1.946877604276096685e+00
2.000000000000000000e+03,8.338060338004986199e-04,1.991850946721223536e+00,1.946877604276096685e+00
4.000000000000000000e+03,4.169139388809931174e-04,1.991911841296636787e+00,1.946877604276096685e+00
8.000000000000000000e+03,2.084596909453545650e-04,1.991942185160786805e+00,1.946877604276096685e+00
